cliente,descripcion,fecha_ingreso,fecha_garantia,marca,codigo,sector,grupo,criticidad,estado,fecha_ultimalectura,ultima_lectura,descrip_tecnica,area,proceso,numero_serie,meta disponibilidad,procesado,fec_proceso,unidad_industrial
JOSEMARIA,CAMIONETA,01-09-2023 00:00,01-09-2023 00:00,TOYOTA,DMCTAAG020GR,JM,CAMIONETA,A CONFIRMAR,AC,01-09-2023 00:00,01/01/2023,Hilux 2.8,ALTA MONTAÑA,SERVICIO DE CAMIONETAS,AG020GR,,,,A Confirmar
JOSEMARIA,CAMIONETA,01-09-2023 00:00,01-09-2023 00:00,TOYOTA,DMCTAAF395QH,JM,CAMIONETA,A CONFIRMAR,AC,01-09-2023 00:00,01/01/2023,"Hilux 2,8",ALTA MONTAÑA,SERVICIO DE CAMIONETAS,AF395QH,,,,A Confirmar
JOSEMARIA,MOTONIVELADORA,01-09-2023 00:00,01-09-2023 00:00,CATERPILLAR,DMMOT01,JM,MOTONIVELADORA,A CONFIRMAR,AC,01-09-2023 00:00,01/01/2023,12M,ALTA MONTAÑA,SERVICIOS VIALES,CAT0012MCB9200943,,,,A Confirmar
JOSEMARIA,MOTONIVELADORA,01-09-2023 00:00,01-09-2023 00:00,JHON DEERE,DMMOT02,JM,MOTONIVELADORA,A CONFIRMAR,AC,01-09-2023 00:00,01/01/2023,670G,ALTA MONTAÑA,SERVICIOS VIALES,1BZ670GAANC000147,,,,A Confirmar
JOSEMARIA,MOTONIVELADORA,01-09-2023 00:00,01-09-2023 00:00,CATERPILLAR,DMMOT03,JM,MOTONIVELADORA,A CONFIRMAR,AC,01-09-2023 00:00,01/01/2023,670G,ALTA MONTAÑA,SERVICIOS VIALES,W9201301,,,,A Confirmar
JOSEMARIA,MOTONIVELADORA,01-09-2023 00:00,01-09-2023 00:00,JHON DEERE,DMMOT06,JM,MOTONIVELADORA,A CONFIRMAR,AC,01-09-2023 00:00,01/01/2023,620G,ALTA MONTAÑA,SERVICIOS VIALES,1BZ620GATND000696,,,,A Confirmar
JOSEMARIA,MOTONIVELADORA,01-09-2023 00:00,01-09-2023 00:00,JHON DEERE,DMMOT07,JM,MOTONIVELADORA,A CONFIRMAR,AC,01-09-2023 00:00,01/01/2023,670G,ALTA MONTAÑA,SERVICIOS VIALES,1BZ670GAKNC000160,,,,A Confirmar
JOSEMARIA,PALA CARGADORA,01-09-2023 00:00,01-09-2023 00:00,KOMATSU,DMPCA04,JM,PALA CARGADORA,A CONFIRMAR,AC,01-09-2023 00:00,01/01/2023,WA320,ALTA MONTAÑA,SERVICIOS VIALES,KMTWA108CNBB20514,,,,A Confirmar
JOSEMARIA,PALA CARGADORA,01-09-2023 00:00,01-09-2023 00:00,KOMATSU,DMPCA05,JM,PALA CARGADORA,A CONFIRMAR,AC,01-09-2023 00:00,01/01/2023,WA320,ALTA MONTAÑA,SERVICIOS VIALES,KMTWA108TNBB20622,,,,A Confirmar
JOSEMARIA,PALA CARGADORA,01-09-2023 00:00,01-09-2023 00:00,KOMATSU,DMPCA06,JM,PALA CARGADORA,A CONFIRMAR,AC,01-09-2023 00:00,01/01/2023,WA320,ALTA MONTAÑA,SERVICIOS VIALES,KMTWA108ENBB20620,,,,A Confirmar
JOSEMARIA,PALA CARGADORA,01-09-2023 00:00,01-09-2023 00:00,KOMATSU,DMPCA07,JM,PALA CARGADORA,A CONFIRMAR,AC,01-09-2023 00:00,01/01/2023,WA320,ALTA MONTAÑA,SERVICIOS VIALES,KMTWA108HMBB20436,,,,A Confirmar
JOSEMARIA,PALA CARGADORA,01-09-2023 00:00,01-09-2023 00:00,CATERPILLAR,DMPCA08,JM,PALA CARGADORA,A CONFIRMAR,AC,01-09-2023 00:00,01/01/2023,938K,ALTA MONTAÑA,SERVICIOS VIALES,CAT0938KCW8K03232,,,,A Confirmar
JOSEMARIA,PALA CARGADORA,01-09-2023 00:00,01-09-2023 00:00,KOMATSU,DMPCA09,JM,PALA CARGADORA,A CONFIRMAR,AC,01-09-2023 00:00,01/01/2023,WA320,ALTA MONTAÑA,SERVICIOS VIALES,KMTWA108ENBB20648,,,,A Confirmar
JOSEMARIA,PALA CARGADORA,01-09-2023 00:00,01-09-2023 00:00,KOMATSU,DMPCA10,JM,PALA CARGADORA,A CONFIRMAR,AC,01-09-2023 00:00,01/01/2023,WA320,ALTA MONTAÑA,SERVICIOS VIALES,KMTWA108VMBB20402,,,,A Confirmar
JOSEMARIA,TOPADORA,01-09-2023 00:00,01-09-2023 00:00,KOMATSU,DMTOP04,JM,TOPADORA,A CONFIRMAR,AC,01-09-2023 00:00,01/01/2023,...,ALTA MONTAÑA,SERVICIOS VIALES,KMT0D101L01012118,,,,A Confirmar
JOSEMARIA,TOPADORA,01-09-2023 00:00,01-09-2023 00:00,KOMATSU,DMTOP05,JM,TOPADORA,A CONFIRMAR,AC,01-09-2023 00:00,01/01/2023,D155,ALTA MONTAÑA,SERVICIOS VIALES,KMT0D074CNC082462,,,,A Confirmar
JOSEMARIA,TOPADORA,01-09-2023 00:00,01-09-2023 00:00,KOMATSU,DMTOP06,JM,TOPADORA,A CONFIRMAR,AC,01-09-2023 00:00,01/01/2023,D155,ALTA MONTAÑA,SERVICIOS VIALES,KMT0D074ENC082422,,,,A Confirmar
JOSEMARIA,TOPADORA,01-09-2023 00:00,01-09-2023 00:00,KOMATSU,DMTOP07,JM,TOPADORA,A CONFIRMAR,AC,01-09-2023 00:00,01/01/2023,D155,ALTA MONTAÑA,SERVICIOS VIALES,KMT0DO74JNCO82461,,,,A Confirmar
JOSEMARIA,RODILLO COMPACTADOR,01-09-2023 00:00,01-09-2023 00:00,691-BOMAG,DMRCP-01,JM,RODILLO COMPACTADOR,A CONFIRMAR,AC,01-09-2023 00:00,01/01/2023,047-BW211D-40,ALTA MONTAÑA,SERVICIOS VIALES,961884302272,,,,A Confirmar
JOSEMARIA,RODILLO COMPACTADOR,01-09-2023 00:00,01-09-2023 00:00,E32-AMMANN,DMRCP-02,JM,RODILLO COMPACTADOR,A CONFIRMAR,AC,01-09-2023 00:00,01/01/2023,E32 AMMANN 074 ARS,ALTA MONTAÑA,SERVICIOS VIALES,AIN16358JP3058168,,,,A Confirmar
JOSEMARIA,EXCAVADORA,01-09-2023 00:00,01-09-2023 00:00,KOMATSU,DMEXC05,JM,EXCAVADORA,A CONFIRMAR,AC,01-09-2023 00:00,01/01/2023,PC210,ALTA MONTAÑA,SERVICIOS VIALES,KMTPC282LNBB11675,,,,A Confirmar
JOSEMARIA,MINICARGADORA,01-09-2023 00:00,01-09-2023 00:00,NEW HOLLAND,DMMCA-01,JM,MINICARGADORA,A CONFIRMAR,AC,01-09-2023 00:00,01/01/2023,L330,ALTA MONTAÑA,SERVICIOS VIALES,JAF0L330CPM428782,,,,A Confirmar
JOSEMARIA,TANQUES DE COMBUSTIBLE,01-09-2023 00:00,01-09-2023 00:00,JONATHAN,DMTQC-01,JM,TANQUES DE COMBUSTIBLE,A CONFIRMAR,AC,01-09-2023 00:00,01/01/2023,...,ALTA MONTAÑA,SERVICIO DE TRANSPORTE Y DISTRIBUCIÓN DE COMBUSTIBLE,2174/23,,,,A Confirmar
JOSEMARIA,PLANTA FIJA DE COMBUSTIBLE,01-09-2023 00:00,01-09-2023 00:00,JONATHAN,DMPFC-01,JM,PLANTA FIJA DE COMBUSTIBLE,A CONFIRMAR,AC,01-09-2023 00:00,01/01/2023,...,ALTA MONTAÑA,SERVICIO DE TRANSPORTE Y DISTRIBUCIÓN DE COMBUSTIBLE,217923,,,,A Confirmar
JOSEMARIA,PLANTA FIJA DE COMBUSTIBLE,01-09-2023 00:00,01-09-2023 00:00,JONATHAN,DMPFC-02,JM,PLANTA FIJA DE COMBUSTIBLE,A CONFIRMAR,AC,01-09-2023 00:00,01/01/2023,...,ALTA MONTAÑA,SERVICIO DE TRANSPORTE Y DISTRIBUCIÓN DE COMBUSTIBLE,203822,,,,A Confirmar
JOSEMARIA,RETROPALA,01-09-2023 00:00,01-09-2023 00:00,CATERPILLAR,DMRTP02,JM,RETROPALA,A CONFIRMAR,AC,01-09-2023 00:00,01/01/2023,416,ALTA MONTAÑA,SERVICIOS VIALES,L9P04456,,,,A Confirmar
FILO DEL SOL,CAMIONETA,01-09-2023 00:00,01-09-2023 00:00,TOYOTA,DMCTAAD013XU,FDS,CAMIONETA,A CONFIRMAR,AC,01-09-2023 00:00,01/01/2023,"Hilux 2,8",ALTA MONTAÑA,SERVICIO DE CAMIONETAS,AD013XU,,,,A Confirmar
FILO DEL SOL,CAMIONETA,01-09-2023 00:00,01-09-2023 00:00,TOYOTA,DMCTAAF626MF,FDS,CAMIONETA,A CONFIRMAR,AC,01-09-2023 00:00,01/01/2023,"Hilux 2,8",ALTA MONTAÑA,SERVICIO DE CAMIONETAS,AF626MF,,,,A Confirmar
FILO DEL SOL,CAMIONETA,01-09-2023 00:00,01-09-2023 00:00,TOYOTA,DMCTAAF626ND,FDS,CAMIONETA,A CONFIRMAR,AC,01-09-2023 00:00,01/01/2023,"Hilux 2,8",ALTA MONTAÑA,SERVICIO DE CAMIONETAS,AF626ND,,,,A Confirmar
FILO DEL SOL,CAMIONETA,01-09-2023 00:00,01-09-2023 00:00,TOYOTA,DMCTAAE209FO,FDS,CAMIONETA,A CONFIRMAR,AC,01-09-2023 00:00,01/01/2023,"Hilux 2,8",ALTA MONTAÑA,SERVICIO DE CAMIONETAS,AE209FO,,,,A Confirmar
FILO DEL SOL,CAMIONETA,01-09-2023 00:00,01-09-2023 00:00,TOYOTA,DMCTAAF919OR,FDS,CAMIONETA,A CONFIRMAR,AC,01-09-2023 00:00,01/01/2023,"Hilux 2,8",ALTA MONTAÑA,SERVICIO DE CAMIONETAS,AF919OR,,,,A Confirmar
FILO DEL SOL,CAMIONETA,01-09-2023 00:00,01-09-2023 00:00,TOYOTA,DMCTAAF572UY,FDS,CAMIONETA,A CONFIRMAR,AC,01-09-2023 00:00,01/01/2023,"Hilux 2,8",ALTA MONTAÑA,SERVICIO DE CAMIONETAS,AF572UY,,,,A Confirmar
FILO DEL SOL,CAMIONETA,01-09-2023 00:00,01-09-2023 00:00,TOYOTA,DMCTAAF860LJ,FDS,CAMIONETA,A CONFIRMAR,AC,01-09-2023 00:00,01/01/2023,"Hilux 2,8",ALTA MONTAÑA,SERVICIO DE CAMIONETAS,AF860LJ,,,,A Confirmar
FILO DEL SOL,CAMIONETA,01-09-2023 00:00,01-09-2023 00:00,TOYOTA,DMCTAAF962SC,FDS,CAMIONETA,A CONFIRMAR,AC,01-09-2023 00:00,01/01/2023,"Hilux 2,8",ALTA MONTAÑA,SERVICIO DE CAMIONETAS,AF962SC,,,,A Confirmar
FILO DEL SOL,CAMION COMBUSTIBLE,01-09-2023 00:00,01-09-2023 00:00,VOLVO,DMCAMCAD098OU,FDS,CAMION COMBUSTIBLE,A CONFIRMAR,AC,01-09-2023 00:00,01/01/2023,VM330,ALTA MONTAÑA,SERVICIO DE TRANSPORTE Y DISTRIBUCIÓN DE COMBUSTIBLE,AD098OU,,,,A Confirmar
FILO DEL SOL,CAMION COMBUSTIBLE,01-09-2023 00:00,01-09-2023 00:00,FORD,DMCAMCAD098OB,FDS,CAMION COMBUSTIBLE,A CONFIRMAR,AC,01-09-2023 00:00,01/01/2023,F4000,ALTA MONTAÑA,SERVICIO DE TRANSPORTE Y DISTRIBUCIÓN DE COMBUSTIBLE,AD098OB,,,,A Confirmar
FILO DEL SOL,CAMION HIDROGRUA,01-09-2023 00:00,01-09-2023 00:00,VOLVO,DMCAMHIAE015PW,FDS,CAMION HIDROGRUA,A CONFIRMAR,AC,01-09-2023 00:00,01/01/2023,FMX460,ALTA MONTAÑA,SERVICIO DE HIDROGRÚA,AE015PW,,,,A Confirmar
FILO DEL SOL,CAMION COMBUSTIBLE,01-09-2023 00:00,01-09-2023 00:00,MERCEDEZ BENZ,DMCAMCAE450BP,FDS,CAMION COMBUSTIBLE,A CONFIRMAR,AC,01-09-2023 00:00,01/01/2023,Axor3131,ALTA MONTAÑA,SERVICIO DE TRANSPORTE Y DISTRIBUCIÓN DE COMBUSTIBLE,AE450BP,,,,A Confirmar
FILO DEL SOL,CAMION VOLCADOR,01-09-2023 00:00,01-09-2023 00:00,MERCEDEZ BENZ,DMCAMVOGO344,FDS,CAMION VOLCADOR,A CONFIRMAR,AC,01-09-2023 00:00,01/01/2023,Atron1720,ALTA MONTAÑA,SERVICIOS VIALES,OGO344,,,,A Confirmar
FILO DEL SOL,CAMION ACOPLADO,01-09-2023 00:00,01-09-2023 00:00,FORD,DMACPAA283NN,FDS,CAMION ACOPLADO,A CONFIRMAR,AC,01-09-2023 00:00,01/01/2023,F4000,ALTA MONTAÑA,SERVICIOS VIALES,AA283NN,,,,A Confirmar
FILO DEL SOL,CAMION COMBUSTIBLE,01-09-2023 00:00,01-09-2023 00:00,RENAULT,DMCAMCHBP467,FDS,CAMION COMBUSTIBLE,A CONFIRMAR,AC,01-09-2023 00:00,01/01/2023,Kerax440,ALTA MONTAÑA,SERVICIO DE TRANSPORTE Y DISTRIBUCIÓN DE COMBUSTIBLE,HBP467,,,,A Confirmar
FILO DEL SOL,EXCAVADORA,01-09-2023 00:00,01-09-2023 00:00,KOMATSU,DMEXC01,FDS,EXCAVADORA,A CONFIRMAR,AC,01-09-2023 00:00,01/01/2023,PC200,ALTA MONTAÑA,SERVICIOS VIALES,KMTPC244CHBB50394,,,,A Confirmar
FILO DEL SOL,EXCAVADORA,01-09-2023 00:00,01-09-2023 00:00,KOMATSU,DMEXC02,FDS,EXCAVADORA,A CONFIRMAR,AC,01-09-2023 00:00,01/01/2023,PC210,ALTA MONTAÑA,SERVICIOS VIALES,KMTPC282KMBB10842,,,,A Confirmar
FILO DEL SOL,EXCAVADORA,01-09-2023 00:00,01-09-2023 00:00,KOMATSU,DMEXC03,FDS,EXCAVADORA,A CONFIRMAR,AC,01-09-2023 00:00,01/01/2023,PC350,ALTA MONTAÑA,SERVICIOS VIALES,KMTPC191JNBB10889,,,,A Confirmar
FILO DEL SOL,EXCAVADORA,01-09-2023 00:00,01-09-2023 00:00,KOMATSU,DMEXC04,FDS,EXCAVADORA,A CONFIRMAR,AC,01-09-2023 00:00,01/01/2023,PC210,ALTA MONTAÑA,SERVICIOS VIALES,KMTPC282HPBB11731,,,,A Confirmar
FILO DEL SOL,GRUPOS ELECTROGENOS 100 A 200 KW,01-09-2023 00:00,01-09-2023 00:00,N/A,DMGE01,FDS,GRUPOS ELECTROGENOS 100 A 200 KW,A CONFIRMAR,AC,01-09-2023 00:00,01/01/2023,Palmero ,ALTA MONTAÑA,GENERADOR,DELTGEN (Falta documentación),,,,A Confirmar
FILO DEL SOL,MOTONIVELADORA,01-09-2023 00:00,01-09-2023 00:00,KOMATSU,DMMOT04,FDS,MOTONIVELADORA,A CONFIRMAR,AC,01-09-2023 00:00,01/01/2023,GD655-5,ALTA MONTAÑA,SERVICIOS VIALES,KMTGD026HNBB40317,,,,A Confirmar
FILO DEL SOL,MOTONIVELADORA,01-09-2023 00:00,01-09-2023 00:00,KOMATSU,DMMOT05,FDS,MOTONIVELADORA,A CONFIRMAR,AC,01-09-2023 00:00,01/01/2023,GD655-5,ALTA MONTAÑA,SERVICIOS VIALES,KMTGD026ANBB40363,,,,A Confirmar
FILO DEL SOL,PALA CARGADORA,01-09-2023 00:00,01-09-2023 00:00,KOMATSU,DMPCA01,FDS,PALA CARGADORA,A CONFIRMAR,AC,01-09-2023 00:00,01/01/2023,WA320,ALTA MONTAÑA,SERVICIOS VIALES,KMTWA108HMBB20436,,,,A Confirmar
FILO DEL SOL,PALA CARGADORA,01-09-2023 00:00,01-09-2023 00:00,KOMATSU,DMPCA02,FDS,PALA CARGADORA,A CONFIRMAR,AC,01-09-2023 00:00,01/01/2023,WA320,ALTA MONTAÑA,SERVICIOS VIALES,KMTWA108LNBB20517,,,,A Confirmar
FILO DEL SOL,PALA CARGADORA,01-09-2023 00:00,01-09-2023 00:00,CATERPILLAR,DMPCA03,FDS,PALA CARGADORA,A CONFIRMAR,AC,01-09-2023 00:00,01/01/2023,950GC,ALTA MONTAÑA,SERVICIOS VIALES,CAT00950JM5K06085,,,,A Confirmar
FILO DEL SOL,RETROPALA,01-09-2023 00:00,01-09-2023 00:00,CATERPILLAR,DMRTP01,FDS,RETROPALA,A CONFIRMAR,AC,01-09-2023 00:00,01/01/2023,416,ALTA MONTAÑA,SERVICIOS VIALES,CAT000416LL9P02403,,,,A Confirmar
FILO DEL SOL,TOPADORA,01-09-2023 00:00,01-09-2023 00:00,KOMATSU,DMTOP01,FDS,TOPADORA,A CONFIRMAR,AC,01-09-2023 00:00,01/01/2023,D155AX,ALTA MONTAÑA,SERVICIOS VIALES,KMT0D074ENCO82338,,,,A Confirmar
FILO DEL SOL,TOPADORA,01-09-2023 00:00,01-09-2023 00:00,CATERPILLAR,DMTOP02,FDS,TOPADORA,A CONFIRMAR,AC,01-09-2023 00:00,01/01/2023,D8T,ALTA MONTAÑA,SERVICIOS VIALES,MB800774,,,,A Confirmar
FILO DEL SOL,TOPADORA,01-09-2023 00:00,01-09-2023 00:00,KOMATSU,DMTOP03,FDS,TOPADORA,A CONFIRMAR,AC,01-09-2023 00:00,01/01/2023,D155AX,ALTA MONTAÑA,SERVICIOS VIALES,KMT0D074ENC082422,,,,A Confirmar
FILO DEL SOL,RODILLO,01-09-2023 00:00,01-09-2023 00:00,AMMANN,DMROD01,FDS,RODILLO,A CONFIRMAR,AC,01-09-2023 00:00,01/01/2023,ARS122,ALTA MONTAÑA,SERVICIOS VIALES,AIN16358JP3058171,,,,A Confirmar
FILO DEL SOL,RETROPALA,01-09-2023 00:00,01-09-2023 00:00,HIDROMEK,DMRTP03,FDS,RETROPALA,A CONFIRMAR,AC,01-09-2023 00:00,01/01/2023,HMK 102 B,ALTA MONTAÑA,SERVICIOS VIALES,HMK102BNT2B80242,,,,A Confirmar
